OBJECTID,Geo_UID,Grid_Num,longitude,latitude,Baseline,F_2050,F_2080,Temp_Exposure,Temp_Exposure_2080,Shape_Length,Shape_Area,Temp_Mid,Temp_Late,Shape__Area,Shape__Length
87,34.125-117.9375,516,-117.9375,34.125,96.656,5.45,8.14,Medium,Medium,0.25,0.00390625,102.106,104.796,58497222.9296875,30730.583473054
88,34.125-118,492,-118,34.125,96.692,5.45,8.07,Medium,Medium,0.25,0.00390625,102.142,104.762,58497130.6875,30730.5569581236
89,34.125-118.0625,468,-118.0625,34.125,98.096,5.41,8.07,Medium,Medium,0.25,0.00390625,103.506,106.166,58496909.390625,30730.504947548
90,34.125-118.125,444,-118.125,34.125,96.8954,5.44,8.1,Medium,Medium,0.25,0.00390625,102.335,104.995,58497027.8632813,30730.5389632307
91,34.125-118.1875,420,-118.1875,34.125,95.882,5.44,8.11,Medium,Medium,0.25,0.00390625,101.322,103.992,58497144.6640625,30730.572578709
92,34.125-118.25,396,-118.25,34.125,93.812,5.55,8.35,Medium,Medium,0.25,0.00390625,99.362,102.162,58497262.3007813,30730.6063957058
93,34.125-118.3125,372,-118.3125,34.125,92.822,5.54,8.29,Medium,Medium,0.25,0.00390625,98.362,101.112,58497547.859375,30730.6732922249
94,34.125-118.375,348,-118.375,34.125,92.93,5.68,8.44,Medium,Medium,0.25,0.00390625,98.61,101.37,58497388.5898438,30730.6275126508
95,34.125-118.4375,324,-118.4375,34.125,92.5907,5.65,8.39,Medium,Medium,0.25,0.00390625,98.241,100.981,58497229.3398438,30730.5817334831
96,34.125-118.5,300,-118.5,34.125,91.562,5.66,8.42,Medium,Medium,0.25,0.00390625,97.222,99.982,58497070.0703125,30730.5359521095
97,34.125-118.5625,276,-118.5625,34.125,98.456,6.06,8.61,High,High,0.25,0.00390625,104.516,107.066,58496511.2890625,30730.3999900958
98,34.125-118.625,252,-118.625,34.125,99.734,6.13,8.59,High,Medium,0.25,0.00390625,105.864,108.324,58496546.9960938,30730.410298941
99,34.125-118.6875,228,-118.6875,34.125,94.964,5.82,8.36,High,Medium,0.2502878,0.003535616,100.784,103.324,52944868.4140625,30768.7580934976
